'System'&'Date'&'Types of bugs'&'Targets specific bugs?'&'Mechanism'&'Bad states'&'Semantic wiggle room'&'Limitations'&'Overhead'&'Fix type'&'Works on \ldots{}'
'Reenact\cite{Prvulovic2003a}'&2003&'Data races'&'Yes'&'Hardware TLS'&'None; manually triggered'&'Instruction interleaving'&&'Small percentage'&'Dynamic'&'Binaries'
'ConTest\cite{Krena2007}'&2007&'Data races'&'Yes'&'ERASER + Pattern matching identified bugs'&'Any ERASER data race'&'Instruction interleaving'&'Only very simple load-store atomic sections'&'Not given; I''d guess large'&'Static'&'Java bytecode'
'Tallam et al.\cite{Tallam2008}'&2008&'Data races, buffer overflow'&'Yes'&'Deterministic replay'&'Arbitrary manually-specified predicate'&'OS-level thread scheduling, buffer padding, user request dropping'&'Uniprocessor only'&'Small percentage'&'Dynamic'&'Binaries'
'Isolator\cite{Ramalingam2009}'&2009&'Asymmetric races'&'No'&'Special compiler + manually generated lock discipline'&'None; always running'&'Instruction interleaving'&&'Tricky to evaluate from the paper'&'Mixed'&'Partial source'
'Tolerace\cite{Ratanaworabhan2008}'&2008&'Asymmetric races'&'No'&'DBT, bogomaths'&'None; always running'&'Instruction interleaving'&&'Small factor'&'Dynamic'&'Binary'
'Atom-Aid\cite{Lucia2009}'&2009&'Atomicity violations'&'No'&'Hardware transactional memory'&'None; always running'&'HTM transaction boundaries'&'Unpredictably effective'&'Not given'&'Dynamic'&'Binaries'
'Dimmunix\cite{Jula2008}'&2008&'LOR deadlocks'&'Yes'&'On-line lock graph inference'&'Deadlock'&'Lock acquisition delays'&&'Negligible'&'Dynamic'&'Binaries'
'Gadara\cite{Wang2008}'&2008&'LOR deadlocks'&'Found with static analysis'&'Discrete control theory, static analysis'&'LOR deadlocks'&'Lock acquisition delays'&&'Small percentage'&'Mixed'&'Source'
'ClearView\cite{Perkins}'&2009&'Deterministic heap bugs'&'Yes'&&'Control flow shepherding'&'Program hysteresis'&&'Varies massively; from a few percent to a factor of several hundred'&'Static'&'Binaries'
'DieHard\cite{Berger2006}'&2006&'Heap errors'&'No'&'Heap expansion'&'None; always running'&'malloc() padding and effect of free()'&&'Large factor to memory, small percentage to time'&'Dynamic'&'Binaries'
'Exterminator\cite{Novark2007}'&2007&'Heap overflows, premature free()'&'Yes'&'DieHard-style heap expansion'&'Buffer overflow and use-after-free'&'malloc() padding and effect of free()'&&'Up to factor 5 on microbenchmarks, small percentage on macro'&'Dynamic'&'Binaries'
'AutoPaG\cite{Lin2007}'&2007&'Buffer out-of-bounds errors'&'Yes'&'Dynamic detection followed by static analysis + Ccured'&'Out-of-bounds array access'&'Effect of out-of-bounds accesses'&&'Small percentage'&'Mostly static'&'Source'
'Datastructure repair\cite{Elkarablieh2007}'&2007&'Data corruption'&'Yes'&'Invariant checking + enforcement'&'None; manually triggered'&'Program hysteresis'&'Needs manually-specified invariants'&'Arbitrarily small'&'Static'&'Source'
'RX\cite{Qin2007}'&2007&'Environmentally-dependent crashes'&'Yes'&'Snapshot-recover'&'SIGSEGV'&'Non-causal environment modification'&&'Small percentage'&'Dynamic'&'Source'
'Failure obliviousness\cite{Rinard2004}'&2004&'Errors with short propagation distances'&'Yes'&'Ccured-style safe compiler'&'SIGSEGV'&'Effect of wild accesses'&&'Negligible'&'Dynamic'&'Source'
'Nagarajan et al.\cite{Nagarajan2009}'&2009&'Short-propagation memory corruptions'&'Yes'&'DBT + taint tracking'&'SIGSEGV'&'Effect of wild accesses and accesses to tainted locations'&&'Small percentage'&'Dynamic'&'Binaries'
'Reactive immune system\cite{Sidiroglou2005}'&2005&'Arbitrary faults'&'Yes'&'Code excision'&'Arbitrary'&'Functions return arbitrarily'&&'Variable; up to a factor of a few hundred, probably a few percent most of the time'&'Dynamic'&'Source'
'ASSURE\cite{Sidiroglou2009}'&2009&'Crash bugs'&'Yes'&'Snapshot-recover+fuzz testing'&'SIGSEGV'&'Non-causal error injection'&'Deterministic bugs only'&'Small percentage'&'Mixed'&'Binaries'
'Software rejuvenation\cite{Huang1995}'&1995&'Resource leaks'&'No'&'Scheduled reboots'&'Running for too long'&'Operator can force a reboot at any time'&&'Zero'&'Dynamic'&'Servers'
'S\"{u}\ss{}kraut et al.\cite{Susskraut2006}'&2006&'Bad error handling'&'Found with semi-static analysis'&'Error injection + invariant inference'&'SIGSEGV'&'Non-causal error injection'&&'Small percentage'&'Static'&'Source'
'\hline{}Proposed system'&&'Scheduling-dependent errors'&'Yes'&'Deterministic replay'&'SIGSEGV'&'Instruction interleaving'&&'Hopefully a small percentage'&'Static'&'Binaries'
